Date,Open,High,Low,Close,Volume
10/6/2022,7476.21,7476.21,7294.2,7317.52,659176380
13/6/2022,7317.52,7317.52,7174.02,7205.81,685844973
14/6/2022,7205.81,7271.85,7135.15,7187.46,849430457
15/6/2022,7187.46,7313.7,7186.5,7273.41,845688526
16/6/2022,7273.41,7273.41,7039.47,7044.98,813657875
17/6/2022,7044.98,7130.62,6998.17,7016.25,718182805
20/6/2022,7016.25,7129.64,7016.15,7121.81,914457681
21/6/2022,7121.81,7193.9,7119.25,7152.05,1863201940
22/6/2022,7152.05,7152.05,7030.03,7089.22,576996635
23/6/2022,7089.22,7115.8,7014.19,7020.45,565906420
24/6/2022,7020.45,7211.07,7016.02,7208.81,741755803
27/6/2022,7208.81,7284.48,7208.52,7258.32,784567837
28/6/2022,7258.32,7362.37,7258.32,7323.41,789356013
29/6/2022,7323.41,7345.45,7263.54,7312.32,677679401
30/6/2022,7312.32,7312.32,7110.7,7169.28,614889372
1/7/2022,7169.28,7214.82,7101.38,7168.65,648293996
4/7/2022,7168.65,7258.46,7168.65,7232.65,831904760
5/7/2022,7232.65,7260.3,7016.78,7025.47,625560756
6/7/2022,7025.47,7198.72,7025.35,7107.77,400771625
7/7/2022,7107.77,7213.05,7107.77,7189.08,878998194
8/7/2022,7189.08,7210.58,7129.15,7196.24,832705013
11/7/2022,7196.24,7204.06,7097.42,7196.59,903550647
12/7/2022,7196.59,7216.9,7143.31,7209.86,586082485
13/7/2022,7209.86,7209.86,7104.06,7156.37,509591163
14/7/2022,7156.37,7157.62,7007.09,7039.81,671828146
15/7/2022,7039.81,7167.85,7038.15,7159.01,620148894
18/7/2022,7159.01,7268.88,7159.01,7223.24,700889624
19/7/2022,7223.24,7308.99,7174.4,7296.28,762329459
20/7/2022,7296.28,7347.6,7253.56,7264.31,625771070
21/7/2022,7264.31,7274.73,7200.14,7270.51,618241656
22/7/2022,7270.51,7315.34,7254.02,7276.37,596133613
25/7/2022,7276.37,7309.65,7242.9,7306.3,700718259
26/7/2022,7306.3,7365.37,7301.19,7306.28,549899169
27/7/2022,7306.28,7365.22,7306.28,7348.23,615670906
28/7/2022,7348.23,7396.2,7308.99,7345.25,682914769
29/7/2022,7345.25,7441.2,7345.25,7423.43,763110806
1/8/2022,7423.43,7471.87,7408.83,7413.42,706403391
2/8/2022,7413.42,7433.34,7386.76,7409.11,835565812
3/8/2022,7409.11,7445.9,7372.71,7445.68,531552619
4/8/2022,7445.68,7491.74,7417.49,7448.06,563320769
5/8/2022,7448.06,7470.63,7420.16,7439.74,565561234
8/8/2022,7439.74,7513.76,7439.74,7482.37,798913333
9/8/2022,7482.37,7504.64,7475.04,7488.15,585979748
10/8/2022,7488.15,7520.72,7468.64,7507.11,588568546
11/8/2022,7507.11,7515,7460.11,7465.91,544949757
12/8/2022,7465.91,7516.83,7464.12,7500.89,628691862
